rank,constellation,main_id,ra,dec,otype,plx_value,pmra,pmdec,rvz_radvel,rvz_type,sp_type,bmag,vmag,constellation_code
15,Scorpius,HD 157243,261.0544936782054,-44.16258555344695,*,4.6451,-2.989,-26.375,13.0,v,B5/6III,5.039,5.108,Sco
16,Scorpius,* chi Sco,243.46210941047,-11.83774786154,*,7.2874,-4.991,-9.931,-23.1714,v,K3III,6.615,5.239,Sco
17,Scorpius,*  16 Sco,243.03048316754,-8.547579594,*,12.7258,44.53,-0.487,-1.08,v,A2IV,5.545,5.424,Sco
18,Scorpius,V* V913 Sco,239.6452773729,-24.831489368690004,*,7.005,-12.451,-24.582,-14.86197,v,B5V,5.34,5.43,Sco
19,Scorpius,*  27 Sco,254.29656171654,-33.25949228849,*,5.2355,4.572,-9.291,-76.37,v,K5III,7.11,5.49,Sco
20,Scorpius,HD 160668,265.71290596535994,-36.94556242444,*,5.3297,7.725,-22.931,-1.53,v,K5III,7.073,5.52,Sco
1,Sagittarius,* del Sgr,275.24851205687213,-29.828102262591386,*,7.8468,33.212,-27.361,-20.4,v,K2.5IIIaCN0.5,4.069,2.668,Sgr
2,Sagittarius,* ksi02 Sgr,284.4325007886946,-21.1066575942875,*,8.4092,33.52,-13.552,-20.1,v,G8/K0II/III,4.69,3.51,Sgr
3,Sagittarius,* b Sgr,299.23680287255206,-27.169897010698058,*,3.8051,7.393,-16.563,-16.2,v,K2.5IIb,5.98,4.528,Sgr
4,Sagittarius,HD 165634,272.02074505330586,-28.45709265001583,*,9.4718,24.35,-31.617,-4.87,v,G7:IIIbCN-1CH-3.5HK+1,5.51,4.56,Sgr
5,Sagittarius,HD 167818,274.51329851055624,-27.042643520009165,*,4.486,5.398,-4.195,-15.14,v,K3II,6.265,4.627,Sgr
6,Sagittarius,* nu.01 Sgr,283.54240867928,-22.74483961587,*,1.8387,3.919,-8.092,-11.57,v,K1II,6.251,4.845,Sgr
7,Sagittarius,*  60 Sgr,299.73834242432997,-26.19576247541,*,8.7932,26.283,27.104,-48.6,v,G6III,5.735,4.846,Sgr
8,Sagittarius,*  21 Sgr,276.33766429256,-20.541672835259998,*,6.7833,6.108,-26.699,-10.75,v,K1/2III,6.32,4.86,Sgr
9,Sagittarius,* d Sgr,289.4086630645,-18.9529062457,*,6.7773,-10.417,-10.913,15.2,v,G8II-III,5.895,4.878,Sgr
10,Sagittarius,*   1 Sgr,272.93055316182,-23.701231598440007,*,12.2588,9.905,-32.048,5.71,v,K0III,6.03,4.98,Sgr
11,Sagittarius,HD 190056,301.08163754481996,-32.05629631122,*,9.3767,47.014,-14.643,-11.7,v,K1III/IV,6.2,4.99,Sgr
12,Sagittarius,* ksi01 Sgr,284.33532038596,-20.65634787079,*,1.4685,-1.116,-6.066,2.5,v,B9/A0Ib,5.14,5.054,Sgr
13,Sagittarius,HD 170680,277.85957435405,-18.40269832713,*,15.527,-4.892,-21.92,-29.03,v,B9/9.5V,5.126,5.117,Sgr
14,Sagittarius,*  29 Sgr,282.41711665726,-20.324654640190005,*,6.2328,-0.575,33.156,-17.93,v,K2III,6.615,5.21,Sgr
15,Sagittarius,*   7 Sgr,270.71291093894,-24.28246728687,*,2.87,1.096,-17.329,-5.62,v,F2II-III,5.86,5.34,Sgr
16,Sagittarius,*  28 Sgr,281.58587913429,-22.392173179269996,*,4.38,28.317,-1.455,-2.7,v,K5III,6.961,5.366,Sgr
17,Sagittarius,HD 170479,277.7701727916116,-32.9890982509367,*,10.6451,-1.371,-47.071,9.2,v,A5V,5.566,5.386,Sgr
18,Sagittarius,* chi03 Sgr,291.37358156858,-23.962453665290003,*,6.3782,-18.53,-12.145,40.86,v,K3III,6.86,5.43,Sgr
19,Sagittarius,*  24 Sgr,278.47285965291,-24.03228199515,*,1.7715,-2.543,-7.346,-2.29,v,K3III,7.263,5.461,Sgr
20,Sagittarius,*  14 Sgr,273.56624985929,-21.713162640799997,*,6.8658,-15.294,-23.625,-58.9,v,K2III,6.984,5.473,Sgr
1,Capricornus,* ome Cap,312.95537723912,-26.91913484546,*,5.8975,-9.016,-2.048,9.1,v,M0IIIBa0.5,5.75,4.12,Cap
2,Capricornus,* nu. Cap,305.1658991456237,-12.759080634501943,*,12.1737,14.13,-15.123,-1.74,v,B9IV,4.72,4.76,Cap
3,Capricornus,* rho Cap A,307.2150616165,-17.81368307879,*,33.2297,-16.889,-10.579,,,,5.26,4.93,Cap
4,Capricornus,* c Cap,326.25106113622,-9.08242767233,*,4.1906,13.438,-1.9,-15.52,v,G7.5II-IIICN0.5,6.189,5.079,Cap
5,Capricornus,* ups Cap,310.01226805726,-18.13865741239,*,5.1719,-22.764,-22.17,-10.73,v,M1III,6.76,5.1,Cap
6,Capricornus,* phi Cap,318.90791479859,-20.65169521012,*,4.8754,13.85,-2.682,-4.72,v,K0II/III,6.317,5.152,Cap
7,Capricornus,* sig Cap,304.84835118396995,-19.11852538377,*,3.4448,5.034,-10.825,-9.64,v,K2III,6.665,5.265,Cap
8,Capricornus,*  29 Cap,318.93684309798,-15.17150133814,*,4.6316,23.818,4.264,-37.8,v,M2III,6.894,5.317,Cap
9,Capricornus,*  30 Cap,319.48869364446,-17.9851386273,*,4.277,16.026,-0.967,-11.1,v,B5II/III,5.263,5.383,Cap
10,Capricornus,* lam Cap,326.63373798506,-11.36595522792,*,12.0253,29.007,-9.42,2.32,v,A0V,5.56,5.567,Cap
11,Capricornus,HD 203475,320.75206122297,-22.66904678252,*,4.2958,35.365,0.167,-10.55,v,M0III,7.228,5.6,Cap
12,Capricornus,*  35 Cap,321.81175708289,-21.19621434535,*,6.1782,-29.553,-30.168,29.88,v,K3III,7.215,5.76,Cap
13,Capricornus,*  44 Cap,325.76832108434,-14.39971028135,*,6.9967,-5.482,19.833,-13.4,v,A9/F0V,6.127,5.879,Cap
